model,trees,accuracy,time(s)
takeda  ,5,77.777778,0.21875
ensemble  ,5,82.051282,0.21875
takeda  ,5,77.777778,0.234375
ensemble  ,5,80.34188,0.234375
takeda  ,5,77.777778,0.1875
ensemble  ,5,75.213675,0.1875
takeda  ,5,79.487179,0.234375
ensemble  ,5,79.487179,0.234375
takeda  ,5,77.777778,0.234375
ensemble  ,5,79.487179,0.234375
takeda  ,5,79.487179,0.40625
ensemble  ,5,75.213675,0.40625
takeda  ,5,77.777778,0.40625
ensemble  ,5,75.213675,0.40625
takeda  ,5,79.487179,0.40625
ensemble  ,5,79.487179,0.40625
takeda  ,5,82.051282,0.390625
ensemble  ,5,75.213675,0.390625
takeda  ,5,77.777778,0.265625
ensemble  ,5,82.051282,0.265625
takeda  ,10,76.923077,0.390625
ensemble  ,10,80.34188,0.390625
takeda  ,10,79.487179,0.40625
ensemble  ,10,79.487179,0.40625
takeda  ,10,76.923077,0.46875
ensemble  ,10,79.487179,0.46875
takeda  ,10,77.777778,0.609375
ensemble  ,10,80.34188,0.609375
takeda  ,10,77.777778,0.578125
ensemble  ,10,82.051282,0.578125
takeda  ,10,79.487179,0.5
ensemble  ,10,79.487179,0.5
takeda  ,10,76.923077,0.296875
ensemble  ,10,82.051282,0.296875
takeda  ,10,77.777778,0.28125
ensemble  ,10,79.487179,0.28125
takeda  ,10,79.487179,0.34375
ensemble  ,10,79.487179,0.34375
takeda  ,10,77.777778,0.46875
ensemble  ,10,80.34188,0.46875
takeda  ,25,81.196581,0.78125
ensemble  ,25,76.923077,0.78125
takeda  ,25,76.923077,0.84375
ensemble  ,25,79.487179,0.84375
takeda  ,25,76.923077,0.90625
ensemble  ,25,79.487179,0.90625
takeda  ,25,76.923077,0.796875
ensemble  ,25,79.487179,0.796875
takeda  ,25,76.923077,0.734375
ensemble  ,25,82.051282,0.734375
takeda  ,25,79.487179,0.921875
ensemble  ,25,80.34188,0.921875
takeda  ,25,76.923077,0.890625
ensemble  ,25,82.051282,0.890625
takeda  ,25,77.777778,1.0
ensemble  ,25,86.324786,1.0
takeda  ,25,79.487179,0.8125
ensemble  ,25,75.213675,0.8125
takeda  ,25,76.923077,0.8125
ensemble  ,25,75.213675,0.8125
takeda  ,50,79.487179,1.515625
ensemble  ,50,80.34188,1.515625
takeda  ,50,77.777778,1.34375
ensemble  ,50,79.487179,1.34375
takeda  ,50,76.923077,1.265625
ensemble  ,50,82.051282,1.265625
takeda  ,50,77.777778,1.390625
ensemble  ,50,79.487179,1.390625
takeda  ,50,79.487179,1.359375
ensemble  ,50,75.213675,1.359375
takeda  ,50,79.487179,1.515625
ensemble  ,50,80.34188,1.515625
takeda  ,50,79.487179,1.40625
ensemble  ,50,82.051282,1.40625
takeda  ,50,79.487179,1.5625
ensemble  ,50,79.487179,1.5625
takeda  ,50,77.777778,1.640625
ensemble  ,50,79.487179,1.640625
takeda  ,50,77.777778,1.703125
ensemble  ,50,80.34188,1.703125
